symbol,exp_month,time,open,high,low,close,volume
BRF,202508,2025-06-23 15:08:00,2305.0,2305.0,2305.0,2305.0,1
BRF,202508,2025-06-23 15:35:00,2306.5,2306.5,2306.5,2306.5,3
BRF,202508,2025-06-23 18:03:00,2318.0,2318.0,2318.0,2318.0,1
BRF,202508,2025-06-23 22:05:00,2260.5,2260.5,2260.5,2260.5,1
BRF,202508,2025-06-24 00:39:00,2273.5,2273.5,2273.5,2273.5,1
BRF,202508,2025-06-24 00:42:00,2243.0,2243.0,2240.0,2240.0,2
BRF,202508,2025-06-24 00:43:00,2225.0,2225.0,2225.0,2225.0,1
BRF,202508,2025-06-24 01:03:00,2190.5,2190.5,2190.5,2190.5,1
BRF,202508,2025-06-24 01:07:00,2218.0,2218.0,2218.0,2218.0,1
BRF,202508,2025-06-24 01:15:00,2200.0,2200.0,2200.0,2200.0,1
BRF,202508,2025-06-24 01:37:00,2200.0,2200.0,2200.0,2200.0,1
BRF,202508,2025-06-24 08:51:00,2112.0,2112.0,2112.0,2112.0,1
BRF,202508,2025-06-24 08:55:00,2100.0,2100.0,2100.0,2100.0,2
BRF,202508,2025-06-24 08:56:00,2100.0,2100.0,2100.0,2100.0,2
BRF,202508,2025-06-24 09:07:00,2080.0,2080.0,2080.0,2080.0,1
BRF,202508,2025-06-24 09:14:00,2082.5,2082.5,2082.5,2082.5,1
BRF,202508,2025-06-24 09:16:00,2070.0,2070.0,2066.0,2066.0,2
BRF,202508,2025-06-24 09:17:00,2060.0,2060.0,2042.0,2042.0,9
BRF,202508,2025-06-24 09:18:00,2046.5,2046.5,2046.5,2046.5,1
BRF,202508,2025-06-24 09:23:00,2045.0,2045.0,2045.0,2045.0,1
BRF,202508,2025-06-24 09:29:00,2054.0,2054.0,2054.0,2054.0,1
BRF,202508,2025-06-24 09:31:00,2052.0,2052.0,2052.0,2052.0,1
BRF,202508,2025-06-24 10:03:00,2055.0,2055.0,2055.0,2055.0,1
BRF,202508,2025-06-24 11:21:00,2049.0,2049.0,2049.0,2049.0,4
BRF,202509,2025-06-23 17:59:00,2249.5,2249.5,2249.5,2249.5,1
BRF,202509,2025-06-23 19:16:00,2265.0,2265.0,2265.0,2265.0,1
BRF,202509,2025-06-23 19:21:00,2266.0,2266.0,2266.0,2266.0,1
BRF,202509,2025-06-23 20:21:00,2243.0,2243.0,2243.0,2243.0,1
BRF,202509,2025-06-23 22:54:00,2210.0,2210.0,2210.0,2210.0,1
BRF,202509,2025-06-24 01:03:00,2150.5,2150.5,2143.0,2143.0,3
BRF,202509,2025-06-24 01:17:00,2143.0,2143.0,2143.0,2143.0,1
BRF,202509,2025-06-24 02:05:00,2120.0,2120.0,2120.0,2120.0,1
BRF,202509,2025-06-24 08:52:00,2080.0,2080.0,2080.0,2080.0,1
BRF,202509,2025-06-24 08:54:00,2075.0,2075.0,2075.0,2075.0,1
BRF,202509,2025-06-24 09:11:00,2069.5,2069.5,2069.5,2069.5,1
BRF,202509,2025-06-24 09:17:00,2052.0,2052.0,1999.5,1999.5,7
BRF,202509,2025-06-24 09:18:00,2000.0,2000.0,2000.0,2000.0,1
BRF,202509,2025-06-24 09:20:00,2004.0,2004.0,2004.0,2004.0,2
BRF,202509,2025-06-24 09:39:00,2006.5,2006.5,2006.5,2006.5,1
BRF,202509,2025-06-24 09:44:00,2000.5,2000.5,2000.0,2000.0,2
BRF,202509,2025-06-24 10:54:00,2021.0,2021.0,2021.0,2021.0,1
BRF,202509,2025-06-24 11:10:00,2015.5,2015.5,2015.5,2015.5,1
BRF,202509,2025-06-24 11:28:00,2000.0,2000.0,2000.0,2000.0,3
BRF,202510,2025-06-24 01:48:00,2097.5,2097.5,2097.5,2097.5,1
CAF,202507,2025-06-24 08:45:00,27.0,27.0,27.0,27.0,2
CAF,202507,2025-06-24 08:54:00,27.0,27.0,27.0,27.0,1
CAF,202507,2025-06-24 09:00:00,26.9,27.2,26.9,26.95,45
CAF,202507,2025-06-24 09:01:00,27.15,27.2,27.15,27.2,6
CAF,202507,2025-06-24 09:02:00,27.25,27.25,27.2,27.2,5
CAF,202507,2025-06-24 09:03:00,27.2,27.2,27.2,27.2,1
CAF,202507,2025-06-24 09:04:00,27.2,27.3,27.2,27.25,9
CAF,202507,2025-06-24 09:05:00,27.25,27.3,27.25,27.3,42
CAF,202507,2025-06-24 09:06:00,27.35,27.4,27.35,27.4,10
CAF,202507,2025-06-24 09:07:00,27.45,27.55,27.45,27.55,9
CAF,202507,2025-06-24 09:08:00,27.5,27.5,27.45,27.45,48
CAF,202507,2025-06-24 09:09:00,27.5,27.5,27.5,27.5,28
CAF,202507,2025-06-24 09:10:00,27.5,27.5,27.45,27.45,24
CAF,202507,2025-06-24 09:13:00,27.35,27.35,27.3,27.3,2
CAF,202507,2025-06-24 09:14:00,27.25,27.25,27.25,27.25,2
CAF,202507,2025-06-24 09:15:00,27.35,27.45,27.35,27.45,36
CAF,202507,2025-06-24 09:16:00,27.45,27.6,27.45,27.6,50
CAF,202507,2025-06-24 09:17:00,27.65,27.7,27.65,27.65,34
CAF,202507,2025-06-24 09:18:00,27.65,27.7,27.65,27.7,3
CAF,202507,2025-06-24 09:19:00,27.7,27.7,27.65,27.65,6
CAF,202507,2025-06-24 09:20:00,27.6,27.6,27.6,27.6,52
CAF,202507,2025-06-24 09:21:00,27.55,27.55,27.55,27.55,1
CAF,202507,2025-06-24 09:22:00,27.6,27.7,27.6,27.7,46
CAF,202507,2025-06-24 09:23:00,27.65,27.65,27.55,27.55,41
CAF,202507,2025-06-24 09:24:00,27.55,27.55,27.55,27.55,15
CAF,202507,2025-06-24 09:26:00,27.55,27.65,27.55,27.6,16
CAF,202507,2025-06-24 09:27:00,27.6,27.6,27.6,27.6,1
CAF,202507,2025-06-24 09:28:00,27.6,27.6,27.6,27.6,4
